Condition,Cell_ID,Cell_Size,Mito_Mass,Cytosolic_Ca,Mito_Ca,ROS,DeltaPsi,ATP,mPTP,CytC_Release,Caspase3,ApoptosisProb,Apoptotic,StressScore
Control,Control_001,1.0584766284453995,0.965549364461099,0.38476999071078627,0.19024014960067365,0.4635629478813233,0.9064957813383331,0.7843518408255851,0.5412910267962591,0.19219888196185456,0.1688996560121233,0.037074630302082676,0,-0.6214336219786226
Control,Control_002,1.1286315838254157,0.8904428592182886,0.34032149891801705,0.23367752304951378,0.4498792431761751,0.8360788769968927,0.794566306417139,0.6059826246227129,0.31453499757884024,0.14962086482276726,0.051871395986335486,0,-0.41908630473731817
Control,Control_003,0.8944860661105615,0.8892861501244016,0.3953381976670485,0.054454314754318486,0.30867856753385553,0.8824680806107454,0.7852982086904657,0.3352474389179822,0.10098127730164176,0.03212476834361384,0.015559973432991514,0,-1.1428960957157017
Control,Control_004,1.0418314143833176,0.9677823867945652,0.4566120899485618,0.19359238568343085,0.3218309991181537,0.8980536756141096,0.8424852391889018,0.40557133466787354,0.32096140357174285,0.18317161699444678,0.03309399774014516,0,-0.8051896077226488
Control,Control_005,0.9849790685940203,1.0899167953049578,0.33360926376936645,0.07772468817196862,0.36385174163033723,0.8990074356075644,0.7260797605780434,0.3253068012964578,0.17197450808059672,0.06735388934724476,0.022459896366633442,0,-1.0410916536785766
Control,Control_006,1.1016258524661897,1.1239640592688418,0.3336104130135573,0.08753612152886328,0.346935231667511,0.8870070671221657,0.834058039327986,0.3424529834186894,0.049865723231461365,0.0,0.01480231268126865,0,-1.0949047916603571
Control,Control_007,0.9861730920937363,0.9529907680496866,0.4605448970855174,0.12564707852559892,0.3992047107384608,0.9268908034462785,0.8324474387101679,0.6061960347025412,0.3988203101689598,0.26038184316623797,0.0398339003062563,0,-0.6339146577892342
Control,Control_008,0.9538068533907903,0.8741554851893488,0.4037204310407036,0.0894627046834573,0.36472024322529367,0.9532127741696078,0.8041433043311866,0.45763556698634933,0.13074122300845264,0.0433598528622198,0.017127880970624402,0,-1.0283128260999492
Control,Control_009,1.0649090222273188,1.0447158128514829,0.31713679298455333,0.11390917522128327,0.40472781892193094,0.8971547561163622,0.8491863372056428,0.3517302136100133,0.238118108444492,0.14630642519815246,0.02731840111460757,0,-0.880139831924509
Control,Control_010,1.1051403000629478,0.913750379832421,0.3879792030510175,0.08593571408319385,0.2812046065281975,0.9982617763632486,0.9341114481422651,0.24977904463021852,0.023085431382562804,0.0,0.00886954426439582,0,-1.3798425099760347
Control,Control_011,0.9197985766183838,0.9503842596441786,0.3175607615031276,0.127373676072885,0.4295357388272011,0.8280378935796788,0.7037472990601535,0.5013502670249473,0.2804328281736561,0.2576370742939866,0.049604335839272096,0,-0.5947503089492844
Control,Control_012,0.9926709194377149,1.1716077071599673,0.317398917250082,0.10807533447058049,0.3424658728402292,0.8976824814958708,0.7956548187687087,0.43243829251115,0.3072495739049192,0.1289170488638015,0.02798082031653787,0,-0.8829982603112112
Control,Control_013,0.8729871239630017,1.1118284277354151,0.3669373590096224,0.11409119284138325,0.47660929786239103,0.8410502475855124,0.7338016941135574,0.5155386855584181,0.21765135821831516,0.23251051217642055,0.04366807542988271,0,-0.5956908345434531
Control,Control_014,0.7002326779008473,1.0315314937776972,0.2160703828739541,0.02117081428338806,0.2412837191612549,0.8502034206455288,0.7765213566431594,0.29788895064605175,0.0,0.0,0.011114227015662085,0,-1.2929468345545543
Control,Control_015,1.0240551557696476,0.8599442961739961,0.2292557517240877,0.04563323326933071,0.4220524211927663,0.8957131157223635,0.8354207932682484,0.390546863150076,0.1559960219143937,0.08422802199214666,0.020267028560889713,0,-0.9624769263790602
